x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada
525278.5,4689455.5,14.01,9.32,175,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525629.5,4689015.5,12.7,9.6,86,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525025.5,4689444.5,11.79,9.47,228,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525292.5,4689369.5,13.1,8.37,103,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525692.5,4689011.5,11.96,9.31,73,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525337.5,4689283.5,12.86,8.26,164,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525009.5,4689159.5,12.26,8.88,79,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525331.5,4689290.5,11.81,8.44,131,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525393.5,4689238.5,11.62,9.36,115,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525013.5,4689178.5,11.37,8.85,173,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525241.5,4689088.5,11.46,8.16,96,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525601.5,4689048.5,11.18,8.15,107,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525619.5,4689039.5,11.23,8.14,157,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525317.5,4689265.5,11.91,8.01,117,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525299.5,4689373.5,11.17,8.82,109,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525814.5,4689028.5,11.21,8.31,194,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525620.5,4689024.5,11.03,8.91,59,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525622.5,4689158.5,10.96,8.5,92,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525614.5,4689141.5,11.28,8.04,85,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525618.5,4689145.5,11.8,8.37,79,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525377.5,4689056.5,10.9,8.57,274,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525759.5,4689005.5,10.81,8.52,61,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525022.5,4689453.5,10.57,8.75,70,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525542.5,4689195.5,10.71,8.31,67,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525011.5,4689164.5,10.96,8.43,36,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525351.5,4689341.5,11.24,8.75,80,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525628.5,4689154.5,11.21,8.44,89,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525404.5,4689237.5,11.47,8.21,36,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525613.5,4689031.5,10.72,7.81,101,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525338.5,4689265.5,10.51,7.73,115,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525634.5,4689144.5,11.12,8.08,48,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525384.5,4689037.5,10.81,7.98,85,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525664.5,4689039.5,10.13,8.22,76,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525633.5,4689156.5,10.88,8.29,58,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525690.5,4689016.5,10.56,8.1,30,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525418.5,4689234.5,11.05,7.97,186,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525378.5,4689246.5,10.71,7.58,187,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525687.5,4689023.5,10.21,7.97,76,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525124.5,4689069.5,10.86,7.67,154,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525343.5,4689277.5,11.05,8.19,44,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525392.5,4689028.5,10.42,7.36,110,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525784.5,4689011.5,9.91,8.14,79,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525623.5,4689166.5,9.92,8.28,32,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525260.5,4689334.5,9.86,8.03,95,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525275.5,4689366.5,10.01,7.63,64,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525233.5,4689082.5,9.68,7.66,78,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
525306.5,4689314.5,9.64,8.03,68,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True
