x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada,pred_prohibida,p_eucalipto,p_frondosa,p_pino
550448.5,4672133.5,20.89,15.91,242,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.018,0.0982,0.8838
550101.5,4672703.5,20.92,15.81,281,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.0306,0.8621,0.1073
550468.5,4672130.5,20.79,16.03,193,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.1352,0.0541,0.8106
550162.5,4672639.5,20.75,15.62,458,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.2934,0.6433,0.0633
550149.5,4672677.5,20.74,16.16,123,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.077,0.6308,0.2923
550141.5,4672683.5,20.88,17.36,84,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.2631,0.5332,0.2038
550901.5,4672885.5,20.09,14.03,574,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.4843,0.5007,0.015
550492.5,4672147.5,20.12,15.07,247,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.0406,0.9272,0.0322
550599.5,4672291.5,19.96,14.7,259,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.119,0.5727,0.3082
550115.5,4672461.5,19.46,12.87,455,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.0473,0.3244,0.6283
550214.5,4672704.5,19.78,12.79,389,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.0743,0.3501,0.5756
550140.5,4672676.5,18.9,18.09,24,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.1195,0.6015,0.279
550485.5,4672160.5,18.59,15.36,161,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.0754,0.1797,0.7449
550605.5,4672243.5,18.4,11.32,592,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.019,0.4712,0.5098
550618.5,4672866.5,18.57,12.0,444,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.0192,0.9346,0.0462
550122.5,4672708.5,17.9,14.75,341,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.0379,0.8,0.1621
550702.5,4672241.5,19.49,13.31,254,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,0,0.1493,0.5596,0.291
550538.5,4672198.5,17.88,12.75,349,PNOA-2024-GAL-550-4673-H29-NPC01,Covelo,Paraños (Santa María),110_934,True,1,0.009,0.1685,0.8224
