x,y,h_max,h_media,area_m2,bloque,NOMECONCEL,PARROQUIA,zona,validada,pred_prohibida,p_eucalipto,p_frondosa,p_pino
525669.5,4689263.5,27.72,17.07,139,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4389,0.0689,0.4922
525668.5,4689269.5,27.16,21.37,115,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.6933,0.0724,0.2342
525602.5,4689247.5,25.54,21.9,55,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4623,0.0989,0.4388
525598.5,4689244.5,24.61,21.12,171,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.1364,0.1682,0.6954
525573.5,4689235.5,24.64,16.6,521,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.116,0.4343,0.4497
525657.5,4689271.5,23.0,16.54,234,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4287,0.0867,0.4846
525682.5,4689270.5,22.74,19.33,99,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.1725,0.5701,0.2575
525572.5,4689245.5,22.13,19.64,92,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4244,0.1044,0.4712
525729.5,4689009.5,19.11,13.24,274,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.0498,0.8295,0.1207
525730.5,4689021.5,19.24,12.61,383,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.136,0.8168,0.0472
525663.5,4689251.5,18.46,12.84,153,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.5296,0.3333,0.1372
525499.5,4689213.5,19.02,11.05,139,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.3854,0.5142,0.1004
525089.5,4689086.5,19.22,11.94,34,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2037,0.4178,0.3785
525748.5,4689027.5,17.37,11.61,114,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.0593,0.6683,0.2724
525649.5,4689014.5,17.96,12.67,285,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.088,0.817,0.095
525627.5,4689321.5,17.02,12.14,98,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.5037,0.0404,0.4559
525519.5,4689210.5,17.53,11.54,124,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.1298,0.7674,0.1028
525655.5,4689017.5,16.82,12.07,91,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.1056,0.492,0.4024
525518.5,4689214.5,15.63,11.24,79,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.1855,0.501,0.3135
525651.5,4689021.5,15.7,12.54,56,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.1384,0.7202,0.1414
525298.5,4689351.5,15.94,10.56,186,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.2409,0.0907,0.6684
525658.5,4689026.5,14.96,10.71,176,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.04,0.2587,0.7013
525284.5,4689308.5,15.43,10.57,355,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.304,0.41,0.286
525293.5,4689314.5,14.96,10.1,281,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,0,0.2226,0.5776,0.1998
525602.5,4689404.5,15.32,10.69,111,PNOA-2024-GAL-525-4690-H29-NPC01,Marín,San Tomé de Piñeiro (San Tomé),105_937,True,1,0.4449,0.2355,0.3196
