puesto,concello,parroquia,ha_medida,ha_arbolado,ha_sobre_35m,ha_prohibida_min,ha_prohibida_max,ha_prohibida_punto_medio
175,Mondariz,Vilasobroso (San Martiño),53.062,30.484,1.011,12.4,15.3,13.8
176,Moaña,Moaña (San Martiño),68.355,26.632,0.519,8.9,18.5,13.7
177,Ponteareas,Celeiros (San Fins),58.331,24.339,0.294,9.8,17.5,13.6
178,Vilagarcía de Arousa,Cea (San Pedro),111.355,29.016,0.313,6.2,21.0,13.6
179,Nigrán,Nigrán (San Fiz),89.548,28.212,0.236,7.5,19.7,13.6
180,Gondomar,Donas (Santa Baia),79.696,24.538,0.511,9.4,17.8,13.6
181,A Lama,Gaxate (San Pedro),43.234,30.32,1.426,12.0,14.7,13.4
182,Tomiño,Taborda (San Miguel),41.154,19.514,0.938,10.9,16.0,13.4
183,Vilaboa,Figueirido (Santo André),60.587,20.585,0.98,11.4,15.4,13.4
184,A Estrada,Oca (Santo Estevo),80.756,24.447,0.069,10.1,16.8,13.4
185,Silleda,Manduas (San Tirso),129.933,29.5,0.122,6.3,20.3,13.3
186,Salvaterra de Miño,Pesqueiras (Santa Mariña),47.375,21.882,0.567,10.1,16.3,13.2
187,Portas,Lantaño (San Pedro),75.784,19.329,0.426,11.8,14.5,13.2
188,O Porriño,O Porriño (Santa María),33.93,18.615,0.768,10.9,15.6,13.2
189,Cotobade,Carballedo (San Miguel),60.33,25.525,0.186,11.7,14.5,13.1
190,Salceda de Caselas,San Xurxo de Salceda (San Xurxo),40.649,17.832,0.512,11.0,15.1,13.0
191,Covelo,Santiago de Covelo (Santiago),63.557,35.843,0.53,11.5,14.4,13.0
192,Barro,Valiñas (Santo André),47.105,17.365,0.178,11.5,14.0,12.8
193,Ponteareas,Angoares (San Pedro),46.556,21.665,0.174,10.2,15.4,12.8
194,Salceda de Caselas,A Picoña (San Martiño),44.601,19.328,1.715,9.9,15.8,12.8
195,Sanxenxo,Vilalonga (San Pedro),137.208,23.091,0.332,7.8,17.4,12.6
196,A Cañiza,Luneda (Santa María),63.772,25.198,0.497,7.0,18.2,12.6
197,Meis,San Martiño de Meis (San Martiño),69.974,20.49,0.283,10.0,15.1,12.6
198,A Estrada,Orazo (San Pedro),92.591,18.648,0.016,10.8,14.3,12.6
199,Salvaterra de Miño,Soutolobre (Santa Comba),40.599,21.816,0.252,10.3,14.9,12.6
200,Gondomar,Morgadáns (Santiago),90.317,20.346,0.262,9.1,16.0,12.6
201,Cuntis,Piñeiro (San Mamede),80.356,21.71,0.155,9.3,15.7,12.5
202,Barro,Agudelo (San Martiño),61.78,20.217,0.194,9.7,15.1,12.4
203,A Lama,A Lama (San Salvador),80.917,37.108,0.162,11.0,13.8,12.4
204,Fornelos de Montes,Fornelos de Montes (San Lourenzo),83.808,35.941,0.566,10.9,13.7,12.3
205,Pazos de Borbén,Borbén (Santiago),51.522,22.747,0.36,9.8,14.8,12.3
206,Tui,Areas (Santa Mariña),67.882,20.46,1.298,9.1,15.3,12.2
207,As Neves,San Xosé de Ribarteme (San Xosé),65.768,23.743,0.361,8.9,15.5,12.2
208,A Estrada,Vinseiro (Santa Cristina),72.192,23.872,0.393,10.4,13.9,12.2
209,A Estrada,San Xurxo de Vea (San Xurxo),100.724,23.832,0.164,8.0,16.4,12.2
210,Poio,Combarro (San Roque),38.942,17.614,0.405,9.7,14.3,12.0
211,Nigrán,Camos (Santa Baia),79.079,23.117,0.437,7.7,16.2,12.0
212,A Estrada,Moreira (San Miguel),106.101,26.833,0.141,8.1,15.7,11.9
213,Tomiño,Piñeiro (San Salvador),38.813,16.798,1.22,9.7,14.0,11.8
214,Nigrán,Priegue (San Mamede),73.86,21.996,0.027,7.5,16.1,11.8
215,Tui,Caldelas de Tui (San Martiño),59.339,20.695,0.162,8.3,15.2,11.8
216,As Neves,Setados (Santa Euxenia),48.364,19.048,0.007,9.7,13.8,11.8
217,Redondela,Quintela (San Mamede),99.126,23.172,0.289,9.5,13.9,11.7
218,Vilanova de Arousa,Caleiro (Santa María),146.788,21.814,0.058,6.6,16.6,11.6
219,Lalín,Losón (Santa Baia),95.671,21.649,0.014,8.1,14.7,11.4
220,As Neves,Rubiós (San Xoán),65.426,19.341,0.138,8.0,14.7,11.4
221,Pontecesures,Pontecesures (San Xulián),64.841,18.113,0.009,9.3,13.3,11.3
222,Lalín,Filgueira (Santa María),124.739,37.838,0.129,4.5,18.0,11.2
223,A Estrada,Ribeira (Santa Mariña),74.76,23.674,0.063,7.3,15.1,11.2
224,Tomiño,Tebra (Santa María),49.097,18.876,0.493,8.4,13.9,11.2
225,Cotobade,Viascón (Santiago),41.444,18.358,0.138,8.8,13.7,11.2
226,Poio,Samieira (Santa María),56.006,21.686,0.324,8.3,13.9,11.1
227,Mos,Dornelas (Santa María),58.847,18.538,0.467,9.0,13.2,11.1
228,A Estrada,Loimil (Santa María),69.687,16.531,0.038,9.8,12.4,11.1
229,Baiona,Belesar (San Lourenzo),65.849,18.979,0.384,7.9,14.1,11.0
230,A Estrada,Callobre (San Martiño),123.373,24.69,0.199,5.8,16.3,11.0
231,As Neves,Vide (Santa María),64.991,21.904,0.11,8.3,13.8,11.0
232,Moraña,Lamas (Santa Cruz),52.645,20.175,0.897,7.9,13.9,10.9
233,Soutomaior,Arcade (Santiago),82.937,18.974,0.054,7.1,14.4,10.8
234,Valga,Campaña (Santa Cristina),66.26,17.945,0.009,9.7,11.9,10.8
235,Meis,San Lourenzo de Nogueira (San Lourenzo),54.06,17.212,0.676,8.1,13.6,10.8
236,Tomiño,Amorín (San Xoán),45.392,17.271,0.38,8.6,13.0,10.8
237,Salvaterra de Miño,Corzáns (San Miguel),44.385,21.421,0.351,7.7,13.8,10.8
238,Mondariz,Frades (San Martiño),55.66,28.279,0.467,9.4,11.7,10.6
239,Mondariz,Meirol (Santo André),42.297,22.387,0.994,9.4,11.9,10.6
240,Gondomar,Gondomar (San Bieito),67.147,19.004,0.336,7.5,13.6,10.6
241,Baiona,Baíña (Santa Mariña),38.861,15.212,0.278,8.5,12.6,10.6
242,Silleda,Cira (Santa Baia),61.896,19.029,0.971,9.5,11.7,10.6
243,Gondomar,Peitieiros (San Miguel),71.137,20.692,0.306,5.8,15.2,10.5
244,Ponteareas,Prado (San Nicolao),39.868,17.089,0.118,9.4,11.6,10.5
245,A Estrada,Ouzande (San Lourenzo),93.79,32.51,0.617,5.8,15.1,10.4
246,Vilanova de Arousa,Deiro (San Miguel),116.451,19.837,0.159,5.8,15.0,10.4
247,Lalín,Botos (San Xoán),138.095,47.311,0.097,3.5,17.1,10.3
248,Gondomar,Chaín (Santa María),63.521,18.967,0.181,7.2,13.4,10.3
249,Salvaterra de Miño,Porto (San Paulo),54.366,16.483,0.32,8.3,12.2,10.2
250,Ribadumia,Lois (San Fins),76.798,17.167,0.189,7.3,13.1,10.2
251,As Neves,San Cibrán de Ribarteme (San Cibrán),46.32,16.846,0.056,8.1,12.4,10.2
252,Meis,San Tomé de Nogueira (San Tomé),42.847,15.325,0.594,7.8,12.5,10.2
253,Tui,Paramos (San Xoán),44.648,18.201,0.693,7.3,12.9,10.1
254,Caldas de Reis,Caldas de Reis (Santa María),62.91,17.217,0.188,7.4,12.7,10.0
255,Catoira,Oeste (Santa Baia),51.4,17.497,0.041,7.0,13.0,10.0
256,Pazos de Borbén,Nespereira (San Martiño),49.815,20.561,1.104,8.9,11.1,10.0
257,Silleda,Lamela (San Miguel),79.712,19.808,0.121,6.4,13.3,9.9
258,Caldas de Reis,Carracedo (Santa Mariña),75.52,16.715,0.018,6.8,13.0,9.9
259,Sanxenxo,Bordóns (San Pedro),53.46,15.29,0.978,7.6,12.2,9.9
260,Marín,O Campo (Santa María),30.746,14.184,0.555,8.4,11.4,9.9
261,Baiona,Baredo (Santa María),55.107,15.648,0.111,7.0,12.5,9.8
262,Tui,Pazos de Reis (O Sagrario),42.751,16.62,0.827,7.5,12.0,9.8
263,Vilagarcía de Arousa,O Carril (Santiago de Fóra),71.7,19.398,0.235,5.3,14.4,9.8
264,Crecente,Angudes (San Xoán),22.912,16.902,0.568,8.0,11.5,9.8
265,Moraña,Laxe (San Martiño),58.036,18.36,0.368,6.7,12.6,9.6
266,Barro,Curro (Santa María),53.491,17.126,1.671,6.1,13.2,9.6
267,Portas,Briallos (San Cristovo),63.772,14.967,0.131,8.4,10.9,9.6
268,Crecente,A Ameixeira (San Bernabeu),36.542,16.895,0.065,7.1,11.9,9.5
269,Sanxenxo,Gondar (San Tomé),75.402,17.202,0.074,6.8,12.2,9.5
270,A Estrada,Riobó (San Martiño),62.88,21.081,0.023,5.8,13.2,9.5
271,Gondomar,Couso (San Cristovo),41.222,13.83,0.471,7.5,11.4,9.4
272,Silleda,Dornelas (San Martiño),45.069,13.487,0.037,8.4,10.4,9.4
273,Poio,Raxó (San Gregorio),28.321,13.335,0.46,7.6,11.1,9.4
274,Lalín,Bendoiro (San Miguel),71.761,24.708,0.018,5.2,13.5,9.4
275,Salvaterra de Miño,Uma (Santo André),42.468,21.096,1.029,5.8,13.1,9.4
276,Lalín,Goiás (San Miguel),140.754,30.72,0.0,1.8,16.8,9.3
277,Ponteareas,Fontenla (San Mamede),44.856,18.464,0.215,6.2,12.3,9.2
278,Nigrán,A Ramallosa (San Pedro),82.748,18.648,0.33,4.5,13.7,9.1
279,Tomiño,Vilameán (San Bieito),31.968,13.569,1.069,7.3,10.7,9.0
280,Arbo,Cequeliños (San Miguel),48.078,15.693,0.062,6.9,11.1,9.0
281,A Estrada,Santeles (San Xoán),101.996,21.582,0.07,5.2,12.9,9.0
282,Oia,Pedornes (San Mamede),33.282,14.513,0.004,6.3,11.5,8.9
283,Cuntis,Arcos (San Breixo),85.293,19.782,0.283,5.4,12.1,8.8
284,A Estrada,Santa Cristina de Vea (Santa Cristina),81.756,18.271,0.005,5.4,12.2,8.8
285,Ponteareas,Arnoso (San Lourenzo),37.622,14.274,0.159,6.9,10.6,8.8
286,O Rosal,As Eiras (San Bartolomeu),27.745,12.742,0.395,7.2,10.5,8.8
287,Redondela,Negros (Santo Estevo),67.534,20.984,0.936,7.8,9.9,8.8
288,Lalín,Donramiro (Santa María),99.687,35.144,0.0,3.6,14.1,8.8
289,Crecente,O Freixo (San Roque),24.715,16.292,1.149,7.3,10.4,8.8
290,Campo Lameiro,O Couso (San Cristovo),54.526,16.158,0.162,6.3,11.3,8.8
291,Lalín,Bermés (Santa María),89.98,25.657,0.048,2.8,14.9,8.8
292,A Estrada,Curantes (San Miguel),66.756,21.997,0.093,5.6,12.1,8.8
293,Oia,Burgueira (San Pedro),60.627,15.098,0.34,6.4,11.2,8.8
294,Cotobade,Sacos (Santa María),52.259,25.618,0.137,5.8,11.7,8.8
295,Lalín,O Cello (San Martiño),102.568,23.815,0.0,4.0,13.4,8.7
296,Forcarei,Forcarei (San Martiño),106.433,46.954,0.316,7.4,9.8,8.6
297,Cotobade,Almofrei (San Lourenzo),29.894,18.858,0.268,6.9,10.4,8.6
298,Oia,Mougás (Santa Uxía),52.857,13.426,0.114,6.3,10.8,8.6
299,A Lama,Verducido (San Martiño),46.403,25.434,0.2,7.6,9.4,8.5
300,As Neves,Tortoreos (Santiago),72.791,17.448,0.132,5.4,11.6,8.5
301,Redondela,Redondela (Santiago),57.384,16.82,0.199,4.3,12.6,8.4
302,Salvaterra de Miño,Vilacova (San Xoán),38.674,20.876,0.774,5.7,11.2,8.4
303,Tomiño,Estás (Santiago),34.068,15.149,0.304,6.2,10.7,8.4
304,O Rosal,San Miguel de Tabagón (San Miguel),31.873,11.548,0.607,7.1,9.7,8.4
305,A Estrada,Remesar (San Cristovo),37.393,13.219,0.006,6.8,9.8,8.3
306,A Estrada,Toedo (San Pedro),58.909,15.27,0.01,5.7,10.6,8.2
307,Tomiño,Currás (San Martiño),24.823,13.06,0.26,6.7,9.5,8.1
308,Lalín,Catasós (Santiago),131.452,35.846,0.004,2.6,13.6,8.1
309,Crecente,Quintela (San Caetano),33.483,15.456,0.159,6.6,9.6,8.1
310,Marín,Mogor (San Xurxo),29.564,12.823,0.41,6.5,9.7,8.1
311,Ribadumia,Ribadumia (Santa Baia),131.295,14.96,0.027,5.1,10.9,8.0
312,Lalín,Vilatuxe (San Lourenzo),135.493,37.676,0.049,6.6,9.2,7.9
313,Tomiño,Figueiró (San Martiño),25.024,12.012,0.021,6.7,9.0,7.8
314,Moaña,Meira (Santa Eulalia),56.865,13.968,0.275,4.8,10.7,7.8
315,A Lama,Xende (San Paulo),36.567,20.656,0.287,6.9,8.7,7.8
316,A Estrada,Rubín (Santa María),88.152,16.539,0.008,4.1,11.5,7.8
317,Ponteareas,San Lourenzo de Oliveira (San Lourenzo),33.941,16.914,0.391,6.9,8.6,7.8
318,Campo Lameiro,Moimenta (Santa María),45.434,14.366,0.15,4.7,10.8,7.8
319,Moaña,Tirán (San Xoán),53.928,16.932,0.197,4.0,11.4,7.7
320,Mondariz,Gargamala (Santa María),76.324,31.144,0.062,6.8,8.5,7.6
321,As Neves,As Neves (Santa María),52.285,14.146,0.016,5.0,10.2,7.6
322,Vilagarcía de Arousa,Arealonga (Santa Baia),78.271,18.06,0.026,2.5,12.8,7.6
323,Vilanova de Arousa,András (San Lourenzo),55.321,12.553,0.248,5.1,9.6,7.4
324,Catoira,Catoira (San Miguel),43.546,12.314,0.014,5.5,9.1,7.3
325,Meaño,Lores (San Miguel),69.138,11.606,0.364,5.7,8.9,7.3
326,As Neves,Santiago de Ribarteme (Santiago),51.245,14.233,0.0,4.9,9.7,7.3
327,Ponteareas,Cumiar (Santo Estevo),38.313,17.442,0.219,6.5,8.1,7.3
328,Lalín,Cercio (Santiago),72.047,18.787,0.049,3.3,11.0,7.2
329,Cotobade,Valongo (Santo André),34.664,19.696,0.251,6.4,8.0,7.2
330,A Estrada,Lagartóns (Santo Estevo),47.532,14.721,0.0,5.2,9.0,7.1
331,Redondela,Ventosela (San Martiño),61.252,13.959,0.198,3.7,10.5,7.1
332,Redondela,Cabeiro (San Xoán),56.262,18.545,0.331,6.4,7.8,7.1
333,A Estrada,Couso (Santa María),48.015,14.745,0.02,4.6,9.6,7.1
334,Ponte Caldelas,Anceu (Santo André),38.37,18.866,0.071,6.3,7.9,7.1
335,Silleda,Escuadro (San Salvador),124.519,24.541,0.169,6.1,8.0,7.0
336,A Lama,Antas (Santiago),43.485,26.958,0.61,6.2,7.8,7.0
337,Cambados,Oubiña (San Vicenzo),59.078,10.705,0.026,5.4,8.6,7.0
338,Silleda,Abades (Santa María),51.71,14.855,0.039,4.0,10.0,7.0
339,Cambados,Corvillón (San Amedio),119.96,13.192,0.025,3.8,10.0,6.9
340,Nigrán,Parada (Santiago),48.178,13.667,0.157,4.5,9.1,6.8
341,A Estrada,Tabeirós (Santiago),66.462,16.299,0.153,4.1,9.4,6.8
342,A Estrada,San Xiao de Vea (San Xiao),64.223,16.591,0.056,3.8,9.7,6.8
343,Oia,Loureza (San Mamede),44.162,15.025,0.185,4.4,9.0,6.7
344,A Estrada,Aguións (Santa María),61.971,13.728,0.24,4.7,8.7,6.7
345,A Lama,Escuadra (San Lourenzo),56.835,22.048,0.005,5.8,7.5,6.6
346,Moraña,Amil (San Mamede),64.177,15.29,0.35,3.6,9.7,6.6
347,Arbo,Barcela (San Xoán),59.598,14.047,0.186,3.1,10.0,6.6
348,Ponte Caldelas,Forzáns (San Fiz),28.182,13.358,0.037,5.9,7.4,6.6
349,Meaño,Meaño (San Xoán),46.297,9.556,0.098,5.4,7.9,6.6
350,A Estrada,Nigoi (Santa María),53.027,16.224,0.127,3.6,9.4,6.5
351,Arbo,Sela (Santa María),46.739,14.76,0.047,3.3,9.7,6.5
352,Marín,Seixo (Nosa Señora do Carme),37.727,12.818,0.161,4.5,8.5,6.5
353,A Lama,Covelo (San Sebastián),66.67,30.282,0.066,4.1,8.9,6.5
354,Cuntis,Estacas (San Fiz),42.114,11.626,0.344,4.8,8.2,6.5
355,Tomiño,Pinzás (Santa María),24.209,9.633,0.209,5.0,7.9,6.4
356,Cuntis,Portela (Santa Eulalia),50.055,12.087,0.064,4.3,8.6,6.4
357,Lalín,Galegos (San Miguel),47.176,11.68,0.001,3.9,8.7,6.3
