faixa_id,capa,concello,parroquia,codparro,bloque,px_medidos,ha_medida,ha_poligono_en_bloque,h_mediana,h_p90,h_max,ha_sobre_2m,pct_sobre_2m,ha_sobre_3m,pct_sobre_3m,ha_sobre_5m,pct_sobre_5m,ha_sobre_5.5m,pct_sobre_5.5m,ha_sobre_8m,pct_sobre_8m,ha_sobre_10m,pct_sobre_10m,ha_sobre_35m,pct_sobre_35m
nuc-54,nucleos,Oia,Oia (Santa María),3603604.0,PNOA-2024-GAL-509-4647-H29-NPC01_chm.tif,10103,1.0103,1.0161,4.05,18.81,27.98,0.6055,59.93,0.55,54.44,0.4702,46.54,0.4612,45.65,0.4246,42.03,0.3949,39.09,0.0,0.0
nuc-242,nucleos,O Rosal,O Rosal (Santa Mariña),3604802.0,PNOA-2024-GAL-509-4647-H29-NPC01_chm.tif,20307,2.0307,2.0315,19.33,26.62,33.49,1.8361,90.42,1.7941,88.35,1.7134,84.37,1.692,83.32,1.6247,80.01,1.5636,77.0,0.0,0.0
nuc-597,nucleos,Oia,Oia (Santa María),3603604.0,PNOA-2024-GAL-509-4651-H29-NPC01_chm.tif,32054,3.2054,3.2036,0.32,1.75,6.42,0.2581,8.05,0.1074,3.35,0.009,0.28,0.0037,0.12,0.0,0.0,0.0,0.0,0.0,0.0
nuc-597,nucleos,Oia,Oia (Santa María),3603604.0,PNOA-2024-GAL-509-4652-H29-NPC01_chm.tif,382,0.0382,0.0382,0.31,0.81,2.29,0.0009,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc-692,nucleos,Oia,Pedornes (San Mamede),3603605.0,PNOA-2024-GAL-509-4652-H29-NPC01_chm.tif,68667,6.8667,6.8706,0.32,7.96,32.25,1.6926,24.65,1.3547,19.73,0.9783,14.25,0.9225,13.43,0.6836,9.96,0.5847,8.52,0.0,0.0
nuc-692,nucleos,Oia,Pedornes (San Mamede),3603605.0,PNOA-2024-GAL-509-4653-H29-NPC01_chm.tif,124380,12.438,12.4348,1.59,20.17,35.23,5.8959,47.4,5.2583,42.28,4.3273,34.79,4.1466,33.34,3.4162,27.47,2.957,23.77,0.0003,0.0
nuc-598,nucleos,Oia,Viladesuso (San Miguel),3603606.0,PNOA-2024-GAL-509-4654-H29-NPC01_chm.tif,55779,5.5779,5.5933,0.51,20.31,36.7,2.1296,38.18,1.9296,34.59,1.658,29.72,1.6102,28.87,1.4267,25.58,1.258,22.55,0.0099,0.18
nuc-692,nucleos,Oia,Pedornes (San Mamede),3603605.0,PNOA-2024-GAL-509-4654-H29-NPC01_chm.tif,5562,0.5562,0.5666,2.47,23.93,32.81,0.2975,53.49,0.2657,47.77,0.2584,46.46,0.2582,46.42,0.2578,46.35,0.2571,46.22,0.0,0.0
nuc-42,nucleos,Oia,Mougás (Santa Uxía),3603603.0,PNOA-2024-GAL-509-4655-H29-NPC01_chm.tif,54943,5.4943,5.4973,0.32,1.58,15.95,0.4534,8.25,0.3148,5.73,0.1773,3.23,0.1546,2.81,0.0516,0.94,0.0284,0.52,0.0,0.0
nuc-598,nucleos,Oia,Viladesuso (San Miguel),3603606.0,PNOA-2024-GAL-509-4655-H29-NPC01_chm.tif,36252,3.6252,3.6264,0.23,2.12,10.71,0.3984,10.99,0.2406,6.64,0.0825,2.28,0.0668,1.84,0.0079,0.22,0.0003,0.01,0.0,0.0
nuc-42,nucleos,Oia,Mougás (Santa Uxía),3603603.0,PNOA-2024-GAL-509-4656-H29-NPC01_chm.tif,66281,6.6281,6.6339,0.53,11.32,31.15,2.0361,30.72,1.6983,25.62,1.3474,20.33,1.2918,19.49,1.0144,15.3,0.8016,12.09,0.0,0.0
nuc-42,nucleos,Oia,Mougás (Santa Uxía),3603603.0,PNOA-2024-GAL-509-4657-H29-NPC01_chm.tif,95171,9.5171,9.5153,0.67,15.22,31.62,3.0543,32.09,2.7434,28.83,2.311,24.28,2.2516,23.66,1.9905,20.91,1.7226,18.1,0.0,0.0
nuc-42,nucleos,Oia,Mougás (Santa Uxía),3603603.0,PNOA-2024-GAL-509-4658-H29-NPC01_chm.tif,14847,1.4847,1.4853,0.58,4.75,26.03,0.2619,17.64,0.1975,13.3,0.1421,9.57,0.128,8.62,0.1022,6.88,0.0983,6.62,0.0,0.0
nuc-42,nucleos,Oia,Mougás (Santa Uxía),3603603.0,PNOA-2024-GAL-509-4659-H29-NPC01_chm.tif,21224,2.1224,2.1216,1.91,9.07,20.37,1.041,49.05,0.8239,38.82,0.4892,23.05,0.4411,20.78,0.2684,12.65,0.1686,7.94,0.0,0.0
nuc-42,nucleos,Oia,Mougás (Santa Uxía),3603603.0,PNOA-2024-GAL-509-4660-H29-NPC01_chm.tif,17797,1.7797,1.7799,1.08,7.49,11.61,0.5755,32.34,0.4583,25.75,0.3704,20.81,0.3411,19.17,0.1322,7.43,0.0152,0.85,0.0,0.0
