concello,parroquia,ha_faixa,ha_arbolado,ha_en_rodal,ha_prohibida,ha_dispersa,ha_prohibida_hi,pct_arbolado,pct_prohibida_lo,pct_prohibida_hi
Barro,Portela (San Mamede),73.073,22.541,17.437,15.784,5.104,19.471,30.85,21.6,26.65
Cotobade,Borela (San Martiño),68.403,37.673,30.701,15.728,6.972,20.764,55.07,22.99,30.36
Ponteareas,Bugarín (Santa Cristina),64.485,22.356,15.571,15.509,6.784,20.41,34.67,24.05,31.65
Ponteareas,Pías (Santa Mariña),99.915,33.903,18.62,15.313,15.282,26.353,33.93,15.33,26.38
A Estrada,Arnois (San Xiao),94.776,31.144,21.014,15.21,10.131,22.528,32.86,16.05,23.77
O Porriño,O Porriño (Santa María),33.93,18.615,15.166,15.166,3.449,17.658,54.86,44.7,52.04
Salceda de Caselas,San Xurxo de Salceda (San Xurxo),40.647,17.832,15.153,15.153,2.679,17.088,43.87,37.28,42.04
Sanxenxo,Padriñán (San Xenxo),84.139,24.609,16.561,15.137,8.047,20.951,29.25,17.99,24.9
Mondariz,Vilasobroso (San Martiño),53.062,30.484,23.562,15.128,6.922,20.128,57.45,28.51,37.93
Portas,Romai (San Xián),131.614,33.922,17.759,15.111,16.163,26.787,25.77,11.48,20.35
Tomiño,Taborda (San Miguel),41.154,19.514,15.342,15.096,4.172,18.11,47.42,36.68,44.01
Arbo,Arbo (Santa María),143.409,31.863,20.734,15.074,11.13,23.113,22.22,10.51,16.12
Covelo,Covelo (Santa Mariña),65.216,35.172,23.773,14.983,11.398,23.218,53.93,22.98,35.6
Ponte Caldelas,A Insua (Santa Mariña),114.709,31.665,23.326,14.955,8.338,20.979,27.6,13.04,18.29
Tui,Baldráns (Santiago),51.461,22.459,16.642,14.902,5.817,19.105,43.64,28.96,37.12
Mos,Guizán (Santa María),62.83,20.62,15.332,14.838,5.287,18.657,32.82,23.62,29.7
Ponteareas,Ponteareas (San Miguel),91.011,31.351,17.625,14.834,13.726,24.75,34.45,16.3,27.19
Redondela,O Viso (Santa María),154.916,39.801,15.414,14.574,24.387,32.191,25.69,9.41,20.78
Redondela,Trasmañó (San Vicente),84.488,28.857,17.274,14.342,11.583,22.71,34.16,16.98,26.88
Salvaterra de Miño,Soutolobre (Santa Comba),40.599,21.816,18.229,14.33,3.587,16.922,53.73,35.3,41.68
Campo Lameiro,Fragas (Santa Mariña),97.406,30.63,15.177,14.266,15.453,25.429,31.45,14.65,26.11
Redondela,Saxamonde (San Román),89.966,30.658,16.259,14.239,14.398,24.641,34.08,15.83,27.39
A Lama,A Lama (San Salvador),80.917,37.108,27.318,14.205,9.79,21.278,45.86,17.56,26.3
Covelo,Santiago de Covelo (Santiago),63.557,35.843,26.667,14.185,9.175,20.814,56.39,22.32,32.75
Ponteareas,Angoares (San Pedro),46.556,21.665,17.195,14.153,4.47,17.383,46.53,30.4,37.34
Cerdedo,Cerdedo (San Xoán),98.311,38.522,28.541,14.014,9.98,21.224,39.18,14.25,21.59
Salvaterra de Miño,Pesqueiras (Santa Mariña),47.375,21.882,15.899,13.993,5.982,18.315,46.19,29.54,38.66
Meis,San Martiño de Meis (San Martiño),69.882,20.49,16.077,13.92,4.412,17.107,29.32,19.92,24.48
Mos,Pereiras (San Miguel),71.782,24.12,14.788,13.87,9.333,20.612,33.6,19.32,28.71
Salceda de Caselas,A Picoña (San Martiño),44.576,19.328,13.776,13.776,5.551,17.787,43.36,30.91,39.9
Gondomar,Borreiros (San Martiño),73.482,25.032,15.538,13.734,9.494,20.593,34.07,18.69,28.02
Pazos de Borbén,Borbén (Santiago),51.522,22.747,15.892,13.6,6.855,18.552,44.15,26.4,36.01
Vilagarcía de Arousa,Cornazo (San Pedro),71.447,22.28,13.583,13.575,8.696,19.857,31.18,19.0,27.79
Vilagarcía de Arousa,Rubiáns (Santa María),90.437,27.059,13.87,13.563,13.188,23.09,29.92,15.0,25.53
Ponteareas,Celeiros (San Fins),58.331,24.339,16.041,13.558,8.298,19.552,41.73,23.24,33.52
Poio,Combarro (San Roque),38.942,17.614,13.945,13.492,3.669,16.142,45.23,34.65,41.45
As Neves,Setados (Santa Euxenia),48.364,19.048,16.022,13.47,3.026,15.656,39.38,27.85,32.37
Tomiño,Piñeiro (San Salvador),38.813,16.798,13.529,13.455,3.27,15.816,43.28,34.66,40.75
Barro,Valiñas (Santo André),47.105,17.365,14.674,13.381,2.691,15.325,36.87,28.41,32.53
Barro,Agudelo (San Martiño),61.78,20.217,15.086,13.3,5.131,17.007,32.72,21.53,27.53
Redondela,Cesantes (San Pedro),164.911,36.755,15.27,13.201,21.485,28.722,22.29,8.01,17.42
Gondomar,Donas (Santa Baia),79.574,24.538,15.123,13.053,9.415,19.854,30.84,16.4,24.95
Vilaboa,Figueirido (Santo André),60.587,20.585,14.842,13.011,5.743,17.16,33.98,21.47,28.32
Cuntis,Piñeiro (San Mamede),80.356,21.71,15.259,12.968,6.451,17.629,27.02,16.14,21.94
Vilaboa,Santa Comba de Bértola (Santa Comba),66.598,22.298,15.392,12.96,6.906,17.949,33.48,19.46,26.95
A Estrada,Matalobos (Santa Baia),116.29,36.283,22.047,12.775,14.236,23.059,31.2,10.99,19.83
A Estrada,A Estrada (San Paio),99.664,33.666,20.631,12.691,13.035,22.108,33.78,12.73,22.18
Tui,Areas (Santa Mariña),67.869,20.46,14.105,12.652,6.356,17.243,30.15,18.64,25.41
Gondomar,Morgadáns (Santiago),90.317,20.346,12.995,12.623,7.351,17.933,22.53,13.98,19.86
Tui,Rebordáns (San Bartolomeu),71.844,27.775,16.714,12.545,11.061,20.535,38.66,17.46,28.58
Tui,Guillarei (San Mamede),98.978,29.658,14.863,12.536,14.795,23.224,29.96,12.67,23.46
A Estrada,Codeseda (San Xurxo),128.001,38.581,24.868,12.484,13.713,22.391,30.14,9.75,17.49
Moaña,Moaña (San Martiño),68.355,26.632,15.273,12.391,11.359,20.597,38.96,18.13,30.13
Pazos de Borbén,Nespereira (San Martiño),49.724,20.561,13.411,12.346,7.15,17.511,41.35,24.83,35.22
Redondela,Reboreda (Santa María),167.225,35.25,12.331,12.331,22.919,28.888,21.08,7.37,17.27
As Neves,San Xosé de Ribarteme (San Xosé),65.452,23.743,16.764,12.315,6.979,17.356,36.28,18.82,26.52
Mondariz,Frades (San Martiño),55.66,28.279,20.666,12.275,7.613,17.774,50.81,22.05,31.93
Cotobade,Viascón (Santiago),41.444,18.358,13.833,12.179,4.525,15.448,44.29,29.39,37.27
Portas,Lantaño (San Pedro),75.784,19.329,14.685,12.056,4.645,15.412,25.51,15.91,20.34
Tomiño,Amorín (San Xoán),45.379,17.271,13.486,11.983,3.785,14.717,38.06,26.41,32.43
Baiona,Baíña (Santa Mariña),38.861,15.212,11.82,11.82,3.392,14.27,39.14,30.42,36.72
Cotobade,Carballedo (San Miguel),60.33,25.525,16.266,11.804,9.26,18.493,42.31,19.57,30.65
Marín,O Campo (Santa María),30.746,14.184,12.452,11.732,1.733,12.984,46.13,38.16,42.23
