concello,parroquia,ha_faixa,ha_arbolado,ha_en_rodal,ha_prohibida,ha_dispersa,ha_prohibida_hi,pct_arbolado,pct_prohibida_lo,pct_prohibida_hi
Poio,Combarro (San Roque),38.942,17.614,13.945,13.492,3.669,16.142,45.23,34.65,41.45
As Neves,Setados (Santa Euxenia),48.364,19.048,16.022,13.47,3.026,15.656,39.38,27.85,32.37
Tomiño,Piñeiro (San Salvador),38.813,16.798,13.529,13.455,3.27,15.816,43.28,34.67,40.75
Barro,Valiñas (Santo André),47.105,17.365,14.674,15.97,2.691,16.044,36.87,33.9,34.06
Barro,Agudelo (San Martiño),61.78,20.217,15.086,13.466,5.131,17.053,32.72,21.8,27.6
Redondela,Cesantes (San Pedro),164.911,36.755,15.27,13.201,21.485,28.722,22.29,8.0,17.42
Gondomar,Donas (Santa Baia),79.574,24.538,15.123,13.053,9.415,19.854,30.84,16.4,24.95
Vilaboa,Figueirido (Santo André),60.587,20.585,14.842,15.863,5.743,17.558,33.98,26.18,28.98
Cuntis,Piñeiro (San Mamede),80.356,21.71,15.259,12.968,6.451,17.629,27.02,16.14,21.94
Vilaboa,Santa Comba de Bértola (Santa Comba),66.598,22.298,15.392,17.675,6.906,18.905,33.48,26.54,28.39
A Estrada,Matalobos (Santa Baia),116.29,36.283,22.047,12.775,14.236,23.059,31.2,10.99,19.83
A Estrada,A Estrada (San Paio),99.664,33.666,20.631,12.691,13.035,22.108,33.78,12.73,22.18
Tui,Areas (Santa Mariña),67.869,20.46,14.105,12.652,6.356,17.243,30.15,18.64,25.41
Gondomar,Morgadáns (Santiago),90.317,20.346,12.995,12.623,7.351,17.933,22.53,13.98,19.86
Tui,Rebordáns (San Bartolomeu),71.844,27.775,16.714,12.545,11.061,20.535,38.66,17.46,28.58
Tui,Guillarei (San Mamede),98.978,29.658,14.863,12.536,14.795,23.224,29.96,12.67,23.46
A Estrada,Codeseda (San Xurxo),128.001,38.581,24.868,12.562,13.713,21.414,30.14,9.81,16.73
Moaña,Moaña (San Martiño),68.355,26.632,15.273,12.391,11.359,20.597,38.96,18.13,30.13
Pazos de Borbén,Nespereira (San Martiño),49.724,20.561,13.411,12.346,7.15,12.762,41.35,24.83,25.67
Redondela,Reboreda (Santa María),167.225,35.25,12.331,12.333,22.919,28.874,21.08,7.38,17.27
As Neves,San Xosé de Ribarteme (San Xosé),65.452,23.743,16.764,12.315,6.979,17.356,36.28,18.82,26.52
Mondariz,Frades (San Martiño),55.66,28.279,20.666,13.121,7.613,13.468,50.81,23.57,24.2
Cotobade,Viascón (Santiago),41.444,18.358,13.833,12.179,4.525,15.448,44.29,29.39,37.27
Portas,Lantaño (San Pedro),75.784,19.329,14.685,16.394,4.645,16.616,25.51,21.63,21.93
Tomiño,Amorín (San Xoán),45.379,17.271,13.486,11.983,3.785,14.717,38.06,26.41,32.43
Baiona,Baíña (Santa Mariña),38.861,15.212,11.82,11.82,3.392,14.27,39.14,30.42,36.72
Cotobade,Carballedo (San Miguel),60.33,25.525,16.266,16.301,9.26,16.685,42.31,27.02,27.66
Marín,O Campo (Santa María),30.746,14.184,12.452,11.732,1.733,12.984,46.13,38.16,42.23
Tomiño,Tebra (Santa María),49.097,18.876,13.469,11.699,5.407,15.605,38.45,23.83,31.78
Mondariz,Meirol (Santo André),42.296,22.387,15.863,13.125,6.524,13.626,52.93,31.03,32.22
Silleda,Silleda (Santa Baia),150.387,48.642,28.754,11.659,19.888,25.343,32.34,7.75,16.85
Meaño,Dena (Santa Eulalia),172.497,25.978,12.426,11.567,13.551,21.356,15.06,6.71,12.38
As Neves,Vide (Santa María),64.85,21.904,16.354,11.555,5.55,15.564,33.78,17.82,24.0
Salvaterra de Miño,Porto (San Paulo),53.946,16.483,13.305,11.537,3.178,13.832,30.55,21.39,25.64
Tui,Caldelas de Tui (San Martiño),59.338,20.695,13.188,11.532,7.507,16.955,34.88,19.43,28.57
Poio,Samieira (Santa María),56.006,21.686,15.953,11.5,5.733,15.642,38.72,20.53,27.93
Lalín,Losón (Santa Baia),95.485,21.649,14.441,11.25,7.208,16.456,22.67,11.78,17.23
Meis,San Lourenzo de Nogueira (San Lourenzo),54.06,17.212,11.631,11.234,5.581,15.266,31.84,20.78,28.24
As Neves,San Cibrán de Ribarteme (San Cibrán),46.32,16.846,13.027,11.233,3.819,13.992,36.37,24.25,30.21
A Estrada,Moreira (San Miguel),105.713,26.833,18.203,11.227,8.63,17.462,25.38,10.62,16.52
Fornelos de Montes,Fornelos de Montes (San Lourenzo),83.808,35.941,22.375,15.166,13.566,15.67,42.88,18.1,18.7
A Estrada,San Xurxo de Vea (San Xurxo),100.724,23.832,13.946,11.151,9.886,18.293,23.66,11.07,18.16
Ponteareas,Prado (San Nicolao),39.868,17.089,12.881,13.065,4.208,13.25,42.86,32.77,33.23
As Neves,Rubiós (San Xoán),65.426,19.341,11.911,11.099,7.43,16.467,29.56,16.96,25.17
Crecente,Angudes (San Xoán),22.851,16.902,14.135,11.064,2.767,13.062,73.97,48.42,57.16
Moraña,Lamas (Santa Cruz),52.645,20.175,13.72,10.922,6.455,15.586,38.32,20.75,29.61
Baiona,Belesar (San Lourenzo),65.849,18.979,12.205,10.919,6.774,15.812,28.82,16.58,24.01
A Estrada,Oca (Santo Estevo),80.756,24.447,14.486,14.002,9.962,18.931,30.27,17.34,23.44
Sanxenxo,Vilalonga (San Pedro),137.177,23.091,11.457,10.844,11.633,19.248,16.83,7.91,14.03
Meis,San Tomé de Nogueira (San Tomé),42.847,15.325,10.842,10.842,4.483,14.08,35.77,25.3,32.86
Nigrán,Camos (Santa Baia),79.079,23.117,13.079,10.769,10.038,18.02,29.23,13.62,22.79
A Estrada,Vinseiro (Santa Cristina),72.181,23.872,14.354,14.43,9.518,15.891,33.07,19.99,22.02
Mos,Dornelas (Santa María),58.823,18.538,12.424,12.522,6.115,14.999,31.52,21.29,25.5
Salvaterra de Miño,Corzáns (San Miguel),44.385,21.421,14.861,10.669,6.561,15.409,48.26,24.04,34.72
Cangas,Coiro (San Salvador),150.624,44.283,16.17,10.632,28.114,30.941,29.4,7.06,20.54
Poio,Raxó (San Gregorio),28.321,13.335,10.555,10.555,2.78,12.564,47.09,37.27,44.36
Sanxenxo,Bordóns (San Pedro),53.46,15.29,10.815,10.513,4.475,13.745,28.6,19.67,25.71
Nigrán,Priegue (San Mamede),73.86,21.996,11.702,10.489,10.294,17.925,29.78,14.2,24.27
Tui,Pazos de Reis (O Sagrario),42.751,16.62,12.414,10.481,4.206,13.52,38.88,24.52,31.62
Gondomar,Couso (San Cristovo),41.222,13.83,10.461,10.461,3.369,12.895,33.55,25.38,31.28
Gondomar,Gondomar (San Bieito),67.146,19.004,12.352,10.435,6.652,15.241,28.3,15.54,22.7
Nigrán,Nigrán (San Fiz),89.548,28.212,12.569,10.421,15.643,21.721,31.5,11.64,24.26
Caldas de Reis,Caldas de Reis (Santa María),62.634,17.217,11.746,10.327,5.47,14.207,27.49,16.49,22.68
Crecente,O Freixo (San Roque),24.715,16.292,14.084,10.214,2.208,11.809,65.92,41.33,47.78
Tomiño,Vilameán (San Bieito),31.968,13.569,10.795,10.131,2.774,12.135,42.45,31.69,37.96
Tui,Paramos (San Xoán),44.648,18.201,12.234,10.13,5.967,14.441,40.77,22.69,32.34
A Estrada,Ribeira (Santa Mariña),74.76,23.674,14.485,10.112,9.189,16.75,31.67,13.53,22.41
Ribadumia,Lois (San Fins),76.798,17.167,10.864,10.101,6.304,14.655,22.35,13.15,19.08
Caldas de Reis,Arcos da Condesa (Santa Mariña),82.376,23.032,12.015,18.737,11.017,20.445,27.96,22.75,24.82
