nw_x,nw_y,ha_illadas,ha_nucleos,ha_faixa,NOMECONCEL,PARROQUIA,n_parroquias,bloque
541,4700,0.0,2.2515887804778463,2.2515887804778463,Cotobade,Borela (San Martiño),1,PNOA-2024-GAL-541-4700-H29-NPC01.LAZ
518,4713,0.14430207465803085,2.1020964487484406,2.2463985234064716,Vilanova de Arousa,András (San Lourenzo),1,PNOA-2024-GAL-518-4713-H29-NPC01.LAZ
540,4687,0.0,2.2429543362466715,2.2429543362466715,Fornelos de Montes,Calvos (Santo Adrián),1,PNOA-2024-GAL-540-4687-H29-NPC01.LAZ
543,4718,0.0,2.2372942992051135,2.2372942992051135,A Estrada,Souto (Santo André),1,PNOA-2024-GAL-543-4718-H29-NPC01.LAZ
568,4724,0.0,2.2310360970152834,2.2310360970152834,Lalín,Donsión (Santa Baia),1,PNOA-2024-GAL-568-4724-H29-NPC01.LAZ
537,4713,0.0,2.2299380246691163,2.2299380246691163,Campo Lameiro,O Campo (San Miguel),1,PNOA-2024-GAL-537-4713-H29-NPC01.LAZ
546,4679,0.0,2.2262052494250746,2.2262052494250746,Mondariz,Gargamala (Santa María),1,PNOA-2024-GAL-546-4679-H29-NPC01.LAZ
552,4719,0.0,2.215310820560581,2.215310820560581,Forcarei,Forcarei (San Martiño),1,PNOA-2024-GAL-552-4719-H29-NPC01.LAZ
552,4715,0.0,2.2050045726931096,2.2050045726931096,Forcarei,Forcarei (San Martiño),1,PNOA-2024-GAL-552-4715-H29-NPC01.LAZ
542,4674,1.8714568307348485,0.3305110244810532,2.2019678552159014,Ponteareas,Pías (Santa Mariña),1,PNOA-2024-GAL-542-4674-H29-NPC01.LAZ
539,4690,0.5272957574479491,1.6649366922068136,2.192232449654763,Ponte Caldelas,A Insua (Santa Mariña),1,PNOA-2024-GAL-539-4690-H29-NPC01.LAZ
578,4726,2.185326524855219,0.0,2.185326524855219,Lalín,Maceira (San Martiño),1,PNOA-2024-GAL-578-4726-H29-NPC01.LAZ
511,4661,0.0,2.1851982243567742,2.1851982243567742,Baiona,Baíña (Santa Mariña),2,PNOA-2024-GAL-511-4661-H29-NPC01.LAZ
553,4670,2.179395146775642,0.0,2.179395146775642,A Cañiza,Parada das Achas (Santiago),2,PNOA-2024-GAL-553-4670-H29-NPC01.LAZ
560,4671,1.2373253512289308,0.9300765756008889,2.16740192682982,A Cañiza,A Cañiza (Santa Teresa),1,PNOA-2024-GAL-560-4671-H29-NPC01.LAZ
525,4665,0.0,2.1540749015566227,2.1540749015566227,O Porriño,Chenlo (San Xoán),1,PNOA-2024-GAL-525-4665-H29-NPC01.LAZ
518,4697,0.0024515576285034845,2.1418141741034296,2.144265731731933,Sanxenxo,Dorrón (San Xoán),1,PNOA-2024-GAL-518-4697-H29-NPC01.LAZ
558,4735,0.3156731369118736,1.819542340054885,2.1352154769667586,Silleda,Pazos (San Martiño),2,PNOA-2024-GAL-558-4735-H29-NPC01.LAZ
517,4717,2.1314234685048583,0.0,2.1314234685048583,Vilagarcía de Arousa,Sobradelo (San Salvador),2,PNOA-2024-GAL-517-4717-H29-NPC01.LAZ
