nw_x,nw_y,ha_illadas,ha_nucleos,ha_faixa,NOMECONCEL,PARROQUIA,n_parroquias,bloque
526,4744,0.0,29.110052223653817,29.110052223653817,Brión,Os Ánxeles (Santa María),1,PNOA-2024-GAL-526-4744-H29-NPC01.LAZ
538,4794,8.724912896344833,20.37852482935207,29.103437725696903,Arteixo,Lañas (Santa María),1,PNOA-2024-GAL-538-4794-H29-NPC01.LAZ
556,4771,1.6670454436121536,27.43460232960918,29.101647773221334,Frades,Abellá (Santo Estevo),1,PNOA-2024-GAL-556-4771-H29-NPC01.LAZ
570,4794,2.945037479264244,26.146698804745373,29.091736284009617,Paderne,Adragonte (Santiago),2,PNOA-2024-GAL-570-4794-H29-NPC01.LAZ
520,4782,3.983586999969484,25.0185893744507,29.00217637442018,Coristanco,Coristanco (San Paio),3,PNOA-2024-GAL-520-4782-H29-NPC01.LAZ
525,4746,0.0,28.980220162742953,28.980220162742953,Brión,Brión (San Fins),1,PNOA-2024-GAL-525-4746-H29-NPC01.LAZ
512,4728,5.288062242527392,23.672017590709704,28.960079833237096,Boiro,Bealo (San Pedro),1,PNOA-2024-GAL-512-4728-H29-NPC01.LAZ
512,4726,9.634419939494249,19.297772647008266,28.932192586502516,Boiro,Bealo (San Pedro),2,PNOA-2024-GAL-512-4726-H29-NPC01.LAZ
534,4745,12.925129395497413,15.976968948912898,28.902098344410312,Santiago de Compostela,Conxo (Santa María),3,PNOA-2024-GAL-534-4745-H29-NPC01.LAZ
560,4812,9.910850544318185,18.97419484662725,28.885045390945436,Mugardos,Meá (San Vicente),2,PNOA-2024-GAL-560-4812-H29-NPC01.LAZ
541,4746,12.867420438051589,15.937941188128203,28.805361626179792,Santiago de Compostela,Aríns (San Martiño),1,PNOA-2024-GAL-541-4746-H29-NPC01.LAZ
544,4783,4.78978617175088,23.98116027149932,28.7709464432502,Cerceda,Cerceda (San Martiño),1,PNOA-2024-GAL-544-4783-H29-NPC01.LAZ
505,4736,1.4545736466792718,27.298291479976093,28.752865126655365,Porto do Son,Miñortos (San Martiño),2,PNOA-2024-GAL-505-4736-H29-NPC01.LAZ
497,4723,0.0,28.683279288195887,28.683279288195887,Porto do Son,Caamaño (Santa María),1,PNOA-2024-GAL-497-4723-H29-NPC01.LAZ
567,4796,3.1717633683422926,25.505153007535725,28.67691637587802,Paderne,Velouzás (San Salvador),1,PNOA-2024-GAL-567-4796-H29-NPC01.LAZ
548,4790,12.589138024052545,16.032618899352684,28.62175692340523,Culleredo,Celas (Santa María),1,PNOA-2024-GAL-548-4790-H29-NPC01.LAZ
498,4764,11.75974600477956,16.85892509417122,28.618671098950777,Vimianzo,Baíñas (Santo Antoíño),1,PNOA-2024-GAL-498-4764-H29-NPC01.LAZ
528,4736,8.151187896216982,20.445283890021834,28.596471786238816,Padrón,Cruces (Santa María),3,PNOA-2024-GAL-528-4736-H29-NPC01.LAZ
536,4793,4.602097450005436,23.9750028841076,28.577100334113034,Arteixo,Armentón (San Pedro),1,PNOA-2024-GAL-536-4793-H29-NPC01.LAZ
547,4769,3.2780498989196643,25.271508756835615,28.54955865575528,Ordes,Ordes (Santa María),1,PNOA-2024-GAL-547-4769-H29-NPC01.LAZ
533,4742,0.0,28.517659012061024,28.517659012061024,Teo,Calo (San Xoán),1,PNOA-2024-GAL-533-4742-H29-NPC01.LAZ
525,4744,0.0,28.505795775266844,28.505795775266844,Brión,Os Ánxeles (Santa María),1,PNOA-2024-GAL-525-4744-H29-NPC01.LAZ
528,4751,1.5500742047598357,26.950510861648457,28.50058506640829,Ames,Ames (San Tomé),1,PNOA-2024-GAL-528-4751-H29-NPC01.LAZ
559,4812,5.995694546593771,22.480223051997122,28.475917598590893,Mugardos,Mugardos (San Xulián),1,PNOA-2024-GAL-559-4812-H29-NPC01.LAZ
567,4804,0.0,28.455295389153274,28.455295389153274,Pontedeume,Andrade (San Martiño),1,PNOA-2024-GAL-567-4804-H29-NPC01.LAZ
542,4797,4.871534778270496,23.5645752015549,28.436109979825396,Arteixo,Oseiro (San Tirso),2,PNOA-2024-GAL-542-4797-H29-NPC01.LAZ
543,4756,1.2498225773074572,27.1537454022158,28.40356797952326,Santiago de Compostela,Marantes (San Vicente),2,PNOA-2024-GAL-543-4756-H29-NPC01.LAZ
514,4726,16.326243855349134,12.045592182363984,28.371836037713116,Rianxo,Taragoña (San Salvador),1,PNOA-2024-GAL-514-4726-H29-NPC01.LAZ
546,4790,12.27464619065497,16.081494514619543,28.356140705274512,Culleredo,Veiga (San Silvestre),2,PNOA-2024-GAL-546-4790-H29-NPC01.LAZ
555,4790,15.232212494620477,13.119540689710792,28.35175318433127,Cambre,Vigo (Santa María),4,PNOA-2024-GAL-555-4790-H29-NPC01.LAZ
579,4834,5.667368034374603,22.660821864674457,28.32818989904906,Cedeira,San Román de Montoxo (San Román),1,PNOA-2024-GAL-579-4834-H29-NPC01.LAZ
507,4787,6.228444498748203,22.072750303569325,28.30119480231753,Cabana de Bergantiños,Cesullas (Santo Estevo),1,PNOA-2024-GAL-507-4787-H29-NPC01.LAZ
588,4837,5.261284186828334,22.988261944497253,28.249546131325587,Ortigueira,Veiga (Santo Adrao),2,PNOA-2024-GAL-588-4837-H29-NPC01.LAZ
